DissolvedOxygen_Saturation,pH,Temperature,Green Valley Lake,South Twin Lake,Swan Lake
133.22,8.96,23.16,0,0,0
97.87,9.05,24.54,0,1,0
38.47,7.95,25.19,1,0,0
149.93,9.13,24.2,0,0,1
178.92,9.63,29.37,0,0,1
100.34,8.85,20.04,1,0,0
136.8,8.45,22.27,0,0,0
127.33,8.95,27.49,0,1,0
123.17,8.62,25.15,0,0,0
102.54,8.97,24.66,0,1,0
156.11,10.01,26.87,1,0,0
69.39,8.31,20.56,0,0,0
101.04,9.14,27.04,0,1,0
55.1,7.97,23.7,0,0,1
149.76,9.29,26.0,1,0,0
110.94,8.66,26.16,0,1,0
125.93,9.06,22.83,0,1,0
85.29,8.74,23.51,0,0,1
76.04,8.62,23.32,0,0,1
95.96,9.12,27.23,0,1,0
140.98,9.02,28.57,0,1,0
66.72,7.72,18.04,1,0,0
82.28,8.77,25.76,0,1,0
135.53,8.84,27.63,0,1,0
93.38,9.07,25.53,0,1,0
40.08,7.68,22.87,1,0,0
108.09,8.59,20.18,0,0,0
78.1,8.98,19.89,1,0,0
116.19,8.38,23.74,0,1,0
120.56,9.08,24.33,0,0,1
77.63,8.57,22.19,0,1,0
96.8,8.47,23.7,0,1,0
120.37,9.68,26.06,1,0,0
87.35,8.88,23.92,0,1,0
86.95,8.96,26.3,0,1,0
110.45,8.36,25.95,0,0,0
66.77,9.02,24.48,0,0,1
183.82,9.69,28.8,0,0,1
102.52,8.58,25.78,0,1,0
78.35,9.53,21.98,1,0,0
117.54,8.56,24.6,0,0,0
145.4,8.57,23.49,0,0,0
131.99,8.78,25.17,1,0,0
31.55,7.51,24.28,1,0,0
93.12,9.59,21.89,1,0,0
135.09,9.12,25.21,1,0,0
75.65,8.93,19.06,1,0,0
190.72,9.52,29.6,0,0,1
138.88,9.05,27.25,0,1,0
123.07,8.85,20.02,0,0,0
128.67,8.8,26.42,0,1,0
211.04,9.02,25.33,0,0,1
98.63,9.19,24.49,0,0,1
87.35,8.88,23.92,0,0,1
144.36,9.36,24.9,1,0,0
157.07,9.29,25.55,1,0,0
91.61,8.27,27.23,0,0,0
149.02,8.52,21.2,0,0,0
168.95,9.26,24.72,0,0,1
53.43,7.87,24.82,1,0,0
80.45,8.6,24.77,1,0,0
98.36,8.45,24.31,0,1,0
95.04,8.68,16.36,1,0,0
125.14,8.74,24.36,1,0,0
66.47,7.88,16.47,1,0,0
86.32,9.78,25.19,1,0,0
72.74,8.8,23.07,0,1,0
100.23,8.53,20.22,0,0,0
100.72,8.97,22.96,0,1,0
94.43,8.82,25.85,0,1,0
172.83,9.08,26.3,1,0,0
163.28,9.21,28.63,0,1,0
84.18,8.9,22.16,0,1,0
27.96,7.51,22.64,1,0,0
68.54,8.84,22.44,0,0,1
80.24,8.35,14.52,1,0,0
117.21,9.15,23.64,1,0,0
139.14,8.79,24.59,0,1,0
88.02,8.61,16.7,1,0,0
164.51,8.86,24.77,0,0,1
123.77,8.88,23.8,1,0,0
36.68,8.34,24.05,1,0,0
84.42,9.66,26.18,1,0,0
183.08,8.47,25.11,0,0,0
132.79,9.72,25.04,1,0,0
80.23,8.89,24.31,0,1,0
158.63,9.28,27.78,0,1,0
136.72,9.84,22.5,1,0,0
192.08,8.81,24.58,0,0,1
130.19,9.08,24.91,1,0,0
131.8,8.92,24.74,1,0,0
98.65,8.54,15.23,0,0,0
72.78,8.85,17.45,1,0,0
70.69,7.93,17.14,1,0,0
102.26,8.5,18.25,0,0,0
104.25,8.12,26.68,0,0,0
139.25,9.07,27.08,0,1,0
75.0,8.34,20.16,0,0,0
60.95,9.09,20.82,1,0,0
63.51,8.02,16.14,0,0,0
65.42,8.0,22.5,1,0,0
118.48,9.26,25.75,0,0,1
74.72,8.46,26.94,1,0,0
69.27,8.21,23.14,0,1,0
36.29,7.54,22.53,1,0,0
93.73,8.53,22.08,1,0,0
74.89,8.09,26.28,0,0,1
131.72,8.36,27.28,0,0,0
60.97,7.89,23.68,1,0,0
159.91,9.94,26.86,1,0,0
